inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table3_10.rt,Table3,BeArFs,10,consistency,Consistent,Consistent,17.089
./benchmarkTables/Table3_10.rt,Table3,BeArVs,10,consistency,Consistent,Consistent,3918.387
./benchmarkTables/Table3_10.rt,Table3,BeUfFs,10,consistency,Consistent,Consistent,4.969
./benchmarkTables/Table3_10.rt,Table3,BeUfVs,10,consistency,Consistent,Consistent,3.332
./benchmarkTables/Table4_10.rt,Table4,BeArFs,10,consistency,Consistent,Consistent,1002.624
./benchmarkTables/Table4_10.rt,Table4,BeArVs,10,consistency,Consistent,Consistent,257.199
./benchmarkTables/Table4_10.rt,Table4,BeUfFs,10,consistency,Consistent,Consistent,3173.575
./benchmarkTables/Table4_10.rt,Table4,BeUfVs,10,consistency,Unknown,Consistent,6416.839
./benchmarkTables/Table3_15.rt,Table3,BeArFs,15,consistency,Unknown,Consistent,7159.729
./benchmarkTables/Table3_15.rt,Table3,BeArVs,15,consistency,Unknown,Consistent,7172.353
./benchmarkTables/Table3_15.rt,Table3,BeUfFs,15,consistency,Unknown,Consistent,7165.935
./benchmarkTables/Table3_15.rt,Table3,BeUfVs,15,consistency,Unknown,Consistent,7168.472
./benchmarkTables/Table4_15.rt,Table4,BeArFs,15,consistency,Unknown,Consistent,7165.634
./benchmarkTables/Table4_15.rt,Table4,BeArVs,15,consistency,Unknown,Consistent,7158.987
./benchmarkTables/Table4_15.rt,Table4,BeUfFs,15,consistency,Consistent,Consistent,571.202
./benchmarkTables/Table4_15.rt,Table4,BeUfVs,15,consistency,Unknown,Consistent,7158.031
./benchmarkTables/Table3_20.rt,Table3,BeArFs,20,consistency,Unknown,Consistent,7159.997
./benchmarkTables/Table3_20.rt,Table3,BeArVs,20,consistency,Unknown,Consistent,7172.113
./benchmarkTables/Table3_20.rt,Table3,BeUfFs,20,consistency,Unknown,Consistent,7172.070
./benchmarkTables/Table3_20.rt,Table3,BeUfVs,20,consistency,Unknown,Consistent,7172.604
./benchmarkTables/Table4_20.rt,Table4,BeArFs,20,consistency,Unknown,Consistent,7171.948
./benchmarkTables/Table4_20.rt,Table4,BeArVs,20,consistency,Unknown,Consistent,7175.324
./benchmarkTables/Table4_20.rt,Table4,BeUfFs,20,consistency,Unknown,Consistent,7172.386
./benchmarkTables/Table4_20.rt,Table4,BeUfVs,20,consistency,Unknown,Consistent,7164.837
./benchmarkTables/Table3_25.rt,Table3,BeArFs,25,consistency,Unknown,Consistent,7180.786
./benchmarkTables/Table3_25.rt,Table3,BeArVs,25,consistency,Unknown,Consistent,7183.460
./benchmarkTables/Table3_25.rt,Table3,BeUfFs,25,consistency,Unknown,Consistent,7185.957
./benchmarkTables/Table3_25.rt,Table3,BeUfVs,25,consistency,Unknown,Consistent,7180.872
./benchmarkTables/Table4_25.rt,Table4,BeArFs,25,consistency,Unknown,Consistent,7160.723
./benchmarkTables/Table4_25.rt,Table4,BeArVs,25,consistency,Unknown,Consistent,7160.428
./benchmarkTables/Table4_25.rt,Table4,BeUfFs,25,consistency,Unknown,Consistent,7162.962
./benchmarkTables/Table4_25.rt,Table4,BeUfVs,25,consistency,Unknown,Consistent,7155.418
./benchmarkTables/Table3_30.rt,Table3,BeArFs,30,consistency,Unknown,Consistent,7171.578
./benchmarkTables/Table3_30.rt,Table3,BeArVs,30,consistency,Consistent,Consistent,3275.866
./benchmarkTables/Table3_30.rt,Table3,BeUfFs,30,consistency,Consistent,Consistent,2981.598
./benchmarkTables/Table3_30.rt,Table3,BeUfVs,30,consistency,Unknown,Consistent,7170.277
./benchmarkTables/Table4_30.rt,Table4,BeArFs,30,consistency,Unknown,Consistent,7167.839
./benchmarkTables/Table4_30.rt,Table4,BeArVs,30,consistency,Unknown,Consistent,7169.136
./benchmarkTables/Table4_30.rt,Table4,BeUfFs,30,consistency,Unknown,Consistent,7170.696
./benchmarkTables/Table4_30.rt,Table4,BeUfVs,30,consistency,Unknown,Consistent,7161.455
./benchmarkTables/Table3_35.rt,Table3,BeArFs,35,consistency,Unknown,Consistent,7184.149
./benchmarkTables/Table3_35.rt,Table3,BeArVs,35,consistency,Unknown,Consistent,7182.311
./benchmarkTables/Table3_35.rt,Table3,BeUfFs,35,consistency,Unknown,Consistent,7183.790
./benchmarkTables/Table3_35.rt,Table3,BeUfVs,35,consistency,Unknown,Consistent,7185.731
./benchmarkTables/Table4_35.rt,Table4,BeArFs,35,consistency,Unknown,Consistent,7163.398
./benchmarkTables/Table4_35.rt,Table4,BeArVs,35,consistency,Unknown,Consistent,7163.868
./benchmarkTables/Table4_35.rt,Table4,BeUfFs,35,consistency,Unknown,Consistent,7159.818
